Gene,Non-unique Gene name,Annotation,L_plantarum,B_animalis,L_brevis
group_4726,,hypothetical protein,JLGHJK_00348,IGABOM_02841,
group_4717,,hypothetical protein,JLGHJK_01004,IGABOM_00362,
group_4708,,D-Ala-teichoic acid biosynthesis protein,JLGHJK_02389,IGABOM_01688,
group_4707,,hypothetical protein,JLGHJK_02331,IGABOM_01641,
group_4706,,Large ribosomal subunit protein bL33,JLGHJK_01945,IGABOM_01300,
group_4705,,Isochorismatase,JLGHJK_01291,IGABOM_00740,
group_4704,,Large ribosomal subunit protein bL33C,JLGHJK_01082,IGABOM_00490,
group_4703,,hypothetical protein,JLGHJK_00270,IGABOM_02775,
group_4702,,hypothetical protein,JLGHJK_00061,IGABOM_02505,
group_4696,,hypothetical protein,JLGHJK_03284,IGABOM_02424,
group_4689,,hypothetical protein,JLGHJK_02947,1_refound_15_pseudo,
group_4688,,hypothetical protein,JLGHJK_02027,IGABOM_01376,
group_4687,,hypothetical protein,JLGHJK_01964,IGABOM_01320,
group_4686,,hypothetical protein,JLGHJK_01301,1_refound_11_pseudo,
group_4685,,hypothetical protein,JLGHJK_00617,1_refound_8,
plnF,plnF,two-peptide bacteriocin plantaricin EF subunit PlnF,JLGHJK_00887,IGABOM_00270,
group_4671,,hypothetical protein,0_refound_6_pseudo,IGABOM_03054,
group_4666,,DUF1056 domain-containing protein,JLGHJK_01272,IGABOM_00725,
group_4659,,hypothetical protein,JLGHJK_02986,IGABOM_02156,
group_4658,,hypothetical protein,JLGHJK_02708,IGABOM_01905,
group_4651,,Phage protein,JLGHJK_00256,IGABOM_02762,
group_4644,,Prophage P2a protein 11,JLGHJK_02912,IGABOM_02083,
group_4643,,hypothetical protein,JLGHJK_02550,IGABOM_01770,
group_4634,,hypothetical protein,JLGHJK_01325,IGABOM_00771,
group_4625,,DUF3042 domain-containing protein,JLGHJK_01952,IGABOM_01307,
group_4624,,DUF2187 domain-containing protein,JLGHJK_01550,IGABOM_00956,
group_4603,,Integral membrane protein,JLGHJK_03181,IGABOM_02332,
group_4599,,hypothetical protein,JLGHJK_01351,IGABOM_00797,
group_4598,,hypothetical protein,JLGHJK_00365,IGABOM_02853,
group_4589,,Integral membrane protein,JLGHJK_02848,IGABOM_02027,
group_4586,,Large ribosomal subunit protein bL28,JLGHJK_02002,IGABOM_01353,
group_4584,,hypothetical protein,JLGHJK_01506,1_refound_12,
secE,secE,Protein translocase subunit SecE,JLGHJK_01083,IGABOM_00491,
group_4583,,Integral membrane protein,JLGHJK_00831,IGABOM_00190,
group_4572,,hypothetical protein,JLGHJK_02357,IGABOM_01663,
group_4570,,LPXTG cell wall anchor domain-containing protein,JLGHJK_00904,IGABOM_00284,
group_4564,,Integral membrane protein,JLGHJK_02964,IGABOM_02142,
group_4562,,hypothetical protein,JLGHJK_00722,IGABOM_00094,
group_4561,,DUF951 domain-containing protein,JLGHJK_00206,IGABOM_02711,
group_4546,,hypothetical protein,JLGHJK_02095,IGABOM_01435,
group_4545,,hypothetical protein,JLGHJK_01895,IGABOM_01255,
group_4544,,Antitoxin,JLGHJK_01624,IGABOM_01030,
group_4542,,Prophage protein,JLGHJK_00957,IGABOM_00328,
pspC,pspC,Phage shock protein PspC N-terminal domain-containing protein,JLGHJK_00650,IGABOM_03172,
group_4541,,Integral membrane protein,JLGHJK_00052,IGABOM_02498,
betT,betT,BetT protein,0_refound_5_pseudo,IGABOM_02254,
group_4532,,Prophage protein,JLGHJK_01700,IGABOM_01099,
group_4531,,Prophage protein,JLGHJK_01649,IGABOM_01054,
group_4530,,Insertion element IS150 protein InsJ-like helix-turn-helix domain-containing protein,JLGHJK_01396,IGABOM_00824,
group_4529,,Phosphagen kinase C-terminal domain-containing protein,JLGHJK_00396,IGABOM_02880,
group_4515,,Integral membrane protein,JLGHJK_02285,IGABOM_01590,
yozE,yozE,YozE SAM-like domain-containing protein,JLGHJK_02223,IGABOM_01536,
group_4514,,hypothetical protein,JLGHJK_02075,IGABOM_01420,
group_4513,,Transcription regulator,JLGHJK_01961,IGABOM_01316,
group_4512,,Extracellular protein,JLGHJK_01592,IGABOM_00992,
group_4511,,Major cold shock protein,JLGHJK_01584,IGABOM_00984,
group_4510,,Major cold shock protein,JLGHJK_01422,IGABOM_00849,
group_4509,,NfeD-like C-terminal domain-containing protein,JLGHJK_00842,IGABOM_00199,
group_4507,,Major cold shock protein,JLGHJK_00577,IGABOM_03097,
group_4492,,Transcriptional regulator,0_refound_1_pseudo,IGABOM_00106,
group_4491,,Coil containing protein,JLGHJK_02600,IGABOM_01808,
group_4490,,hypothetical protein,JLGHJK_00420,IGABOM_02898,
group_4474,,Prophage Lp3 protein 24,JLGHJK_02924,IGABOM_02103,
group_4473,,Integral membrane protein,JLGHJK_02511,IGABOM_01741,
group_4461,,hypothetical protein,JLGHJK_00563,IGABOM_03085,
group_4453,,hypothetical protein,JLGHJK_02832,IGABOM_02014,
group_4451,,DNA-directed RNA polymerase subunit omega,JLGHJK_01988,IGABOM_01342,
group_4435,,hypothetical protein,JLGHJK_01723,1_refound_13_pseudo,
group_4423,,hypothetical protein,JLGHJK_02596,IGABOM_01805,
group_4420,,HTH merR-type domain-containing protein,JLGHJK_01415,IGABOM_00842,
group_4419,,hypothetical protein,JLGHJK_00671,1_refound_9_pseudo,
group_4418,,hypothetical protein,JLGHJK_00101,IGABOM_02535,
group_4412,,Integral membrane protein,JLGHJK_03227,IGABOM_02373,
group_4411,,hypothetical protein,JLGHJK_03197,IGABOM_02346,
group_4410,,Integral membrane protein,JLGHJK_02992,IGABOM_02161,
group_4408,,UPF0346 protein LRC_09710,JLGHJK_02248,IGABOM_01560,
group_4407,,CsbD-like domain-containing protein,JLGHJK_02092,IGABOM_01432,
group_4406,,DUF910 domain-containing protein,JLGHJK_01948,IGABOM_01303,
group_4405,,DUF2642 domain-containing protein,JLGHJK_00718,IGABOM_00090,
group_4394,,hypothetical protein,JLGHJK_02650,IGABOM_01850,
group_4393,,Ferrous iron transporter FeoA-like domain-containing protein,JLGHJK_01846,IGABOM_01238,
group_4392,,Transposase,JLGHJK_00578,IGABOM_03098,
group_4381,,DUF2969 domain-containing protein,JLGHJK_02821,IGABOM_02003,
group_4379,,hypothetical protein,JLGHJK_01614,IGABOM_01021,
group_4378,,hypothetical protein,JLGHJK_01257,1_refound_10,
group_4376,,Cardiolipin synthase N-terminal domain-containing protein,JLGHJK_00250,IGABOM_02756,
group_4364,,Integral membrane protein,JLGHJK_02993,IGABOM_02162,
group_4363,,hypothetical protein,JLGHJK_02951,IGABOM_02126,
group_4362,,UPF0154 protein LCA_1273,JLGHJK_02431,IGABOM_01723,
group_4361,,Exodeoxyribonuclease 7 small subunit,JLGHJK_01976,IGABOM_01331,
group_4359,,Prophage protein,JLGHJK_01264,IGABOM_00716,
nrdH,nrdH,Glutaredoxin-like protein NrdH,JLGHJK_01098,IGABOM_00574,
group_4345,,hypothetical protein,JLGHJK_00626,IGABOM_03149,
yaaA,yaaA,S4 domain-containing protein YaaA,JLGHJK_00547,IGABOM_03069,
group_4344,,hypothetical protein,JLGHJK_00508,IGABOM_03020,
group_4343,,Integral membrane protein,JLGHJK_00289,IGABOM_02789,
group_4326,,D-alanyl carrier protein,JLGHJK_02385,IGABOM_01685,
group_4325,,D-alanyl carrier protein,JLGHJK_01784,IGABOM_01171,
group_4324,,DUF1797 domain-containing protein,JLGHJK_01657,IGABOM_01062,
secG,secG,Protein-export membrane protein SecG,JLGHJK_01205,IGABOM_00678,
group_4323,,Small ribosomal subunit protein bS18,JLGHJK_00553,IGABOM_03076,
group_4312,,hypothetical protein,JLGHJK_03539,,PHDJFC_02888
group_4303,,Cytochrome b5 heme-binding domain-containing protein,JLGHJK_00038,IGABOM_02487,
group_4290,,Acyl carrier protein,JLGHJK_02008,IGABOM_01358,
group_4288,,DUF2187 domain-containing protein,JLGHJK_01764,IGABOM_01154,
group_4287,,Large ribosomal subunit protein bL31B,JLGHJK_00963,IGABOM_00331,
group_4286,,hypothetical protein,JLGHJK_00845,IGABOM_00201,
group_4285,,hypothetical protein,JLGHJK_00499,IGABOM_03012,
group_4284,,hypothetical protein,JLGHJK_00316,IGABOM_02815,
group_4270,,Acyl carrier protein,JLGHJK_02051,IGABOM_01395,
group_4252,,hypothetical protein,JLGHJK_03290,IGABOM_02430,
group_4250,,hypothetical protein,JLGHJK_02617,IGABOM_01826,
group_4248,,hypothetical protein,JLGHJK_01300,IGABOM_00749,
group_4247,,DUF2508 domain-containing protein,JLGHJK_01105,IGABOM_00581,
group_4246,,Veg protein,JLGHJK_00927,IGABOM_00304,
group_4245,,hypothetical protein,JLGHJK_00786,IGABOM_00145,
purS,purS,Phosphoribosylformylglycinamidine synthase subunit PurS,JLGHJK_03160,IGABOM_02310,
yggT,yggT,YggT family protein,JLGHJK_02627,IGABOM_01832,
group_4239,,Small ribosomal subunit protein bS20,JLGHJK_02565,IGABOM_01782,
group_4237,,GlsB/YeaQ/YmgE family stress response membrane protein,JLGHJK_01349,IGABOM_00795,
group_4223,,hypothetical protein,JLGHJK_02822,IGABOM_02004,
zapA,zapA,Cell division protein ZapA,JLGHJK_02738,IGABOM_01931,
group_4222,khpA,RNA-binding protein KhpA,JLGHJK_02017,IGABOM_01365,
group_4220,,Bacteriocin immunity protein,JLGHJK_00062,IGABOM_02506,
group_4212,,hypothetical protein,JLGHJK_02142,1_refound_14_pseudo,
group_4209,,DUF2187 domain-containing protein,JLGHJK_00305,IGABOM_02803,
group_4180,,Integral membrane protein,JLGHJK_02093,IGABOM_01433,
group_4179,,GlsB/YeaQ/YmgE family stress response membrane protein,JLGHJK_02091,IGABOM_01431,
group_4178,,Phosphocarrier protein HPr,JLGHJK_01650,IGABOM_01055,
ybeA,ybeA,UPF0297 protein YbeA,JLGHJK_02741,IGABOM_01934,
group_4167,,Small ribosomal subunit protein uS14A,JLGHJK_02653,IGABOM_01852,
group_4166,,Small ribosomal subunit protein uS15,JLGHJK_02564,IGABOM_01781,
group_4164,,hypothetical protein,JLGHJK_00862,IGABOM_00218,
group_4163,,Metal-sensing transcriptional repressor,JLGHJK_00419,IGABOM_02897,
group_4155,,hypothetical protein,0_refound_4_pseudo,IGABOM_02127,
group_4152,,UPF0291 protein L248_0887,JLGHJK_02432,IGABOM_01724,
group_4151,,Small ribosomal subunit protein bS16,JLGHJK_02016,IGABOM_01364,
group_4150,,Acylphosphatase,JLGHJK_01930,IGABOM_01286,
group_4149,,Small conserved membrane protein,JLGHJK_00703,IGABOM_00070,
group_4148,,Bacteriocin immunity protein,JLGHJK_00358,IGABOM_02850,
group_4147,,hypothetical protein,JLGHJK_00107,IGABOM_02541,
group_4146,,hypothetical protein,JLGHJK_00042,IGABOM_02491,
group_4131,,SPbeta prophage-derived DNA-binding protein HU 2,JLGHJK_02263,IGABOM_01572,
group_4118,,DUF3847 domain-containing protein,JLGHJK_03474,,PHDJFC_02904
group_4116,,HTH arsR-type domain-containing protein,JLGHJK_02793,IGABOM_01979,
group_4115,,Large ribosomal subunit protein bL27,JLGHJK_01968,IGABOM_01324,
group_4114,,DUF2089 domain-containing protein,JLGHJK_00770,IGABOM_00130,
group_4113,,Cell surface protein (Putative),JLGHJK_00432,IGABOM_02909,
group_4103,,ABM domain-containing protein,JLGHJK_02920,IGABOM_02096,
group_4093,,Integral membrane protein,JLGHJK_02805,IGABOM_01989,
group_4092,,hypothetical protein,JLGHJK_02525,IGABOM_01751,
group_4090,,Co-chaperonin GroES,JLGHJK_01128,IGABOM_00610,
group_4081,,Prophage Lp1 protein 21,JLGHJK_02905,IGABOM_02075,
group_4080,,Heavy metal-binding domain-containing protein,JLGHJK_01740,IGABOM_01134,
group_4079,,RNA-binding S4 domain-containing protein,JLGHJK_01003,IGABOM_00361,
group_4078,,Prophage protein,JLGHJK_00799,IGABOM_00157,
group_4077,,Prophage protein,JLGHJK_00792,IGABOM_00150,
group_4071,,Phage protein,JLGHJK_02376,IGABOM_01681,
group_4070,,RNA-binding protein,JLGHJK_02187,IGABOM_01513,
group_4055,,hypothetical protein,JLGHJK_00366,IGABOM_02854,
group_4039,,Glycine cleavage system H protein,JLGHJK_02819,IGABOM_02001,
group_4038,,UPF0473 protein Lreu_0536,JLGHJK_02739,IGABOM_01932,
group_4028,,Secreted protein,JLGHJK_02102,IGABOM_01439,
group_4027,,Beta-glucosides PTS EIIB,JLGHJK_01778,IGABOM_01165,
group_4026,,Bacteriocin immunity protein,JLGHJK_01407,IGABOM_00834,
group_4025,,Small ribosomal subunit protein bS6,JLGHJK_00551,IGABOM_03074,
group_4024,,hypothetical protein,JLGHJK_00434,IGABOM_02911,
group_4013,,UPF0298 protein lp_2135,JLGHJK_02575,IGABOM_01790,
group_4011,,Iron-sulfur cluster biosynthesis protein,JLGHJK_01942,IGABOM_01297,
group_4010,,Transposase,JLGHJK_01286,IGABOM_00735,
group_4003,,hypothetical protein,JLGHJK_03291,IGABOM_02431,
group_4002,,hypothetical protein,JLGHJK_02412,IGABOM_01705,
group_4001,,hypothetical protein,JLGHJK_01613,IGABOM_01020,
group_4000,,Extracellular protein,JLGHJK_00785,IGABOM_00144,
group_3993,,GTP cyclohydrolase,JLGHJK_02191,IGABOM_01517,
group_3992,,Large ribosomal subunit protein bL21,JLGHJK_01966,IGABOM_01322,
group_3989,,Phage protein,JLGHJK_01254,IGABOM_00707,
group_3988,,Nucleoid-associated protein LL0120,JLGHJK_01103,IGABOM_00579,
group_3987,,Quaternary ammonium compound-resistance protein,JLGHJK_00284,IGABOM_02784,
group_3980,,Stress-responsive transcription regulator,0_refound_2_pseudo,IGABOM_00630,
group_3978,,Transposase,JLGHJK_03471,,PHDJFC_03034
group_3976,,Thioredoxin,JLGHJK_02736,IGABOM_01929,
group_3975,,hypothetical protein,JLGHJK_01520,IGABOM_00933,
group_3974,,MIP18 family-like domain-containing protein,JLGHJK_00313,IGABOM_02811,
group_3962,,CRM domain-containing protein,JLGHJK_01910,IGABOM_01267,
group_3959,,hypothetical protein,JLGHJK_00116,IGABOM_02550,
group_3958,,HTH arsR-type domain-containing protein,JLGHJK_00109,IGABOM_02543,
group_3947,,hypothetical protein,JLGHJK_01025,IGABOM_00384,
group_3946,,PTS system cellobiose-specific IIB component,JLGHJK_03211,IGABOM_02359,
group_3945,,Integral membrane protein,JLGHJK_03185,IGABOM_02336,
group_3944,,ANTAR domain-containing protein,JLGHJK_02981,IGABOM_02153,
group_3928,,Transcriptional regulator,JLGHJK_03091,IGABOM_02253,
group_3927,,Thiol-disulfide isomerase and thioredoxin,JLGHJK_03077,IGABOM_02238,
group_3926,,Phosphoribosyl-ATP pyrophosphatase,JLGHJK_03022,IGABOM_02184,
group_3925,,hypothetical protein,JLGHJK_02021,IGABOM_01369,
group_3924,,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C,JLGHJK_01571,IGABOM_00973,
group_3922,,Thioredoxin,JLGHJK_00418,IGABOM_02896,
group_3911,,PepSY domain-containing protein,JLGHJK_01839,IGABOM_01231,
group_3908,,DUF4870 domain-containing protein,JLGHJK_00385,IGABOM_02871,
group_3907,,Prophage protein,JLGHJK_00342,IGABOM_02835,
group_3899,,hypothetical protein,JLGHJK_03180,IGABOM_02331,
group_3898,,Phosphoribosyl-AMP cyclohydrolase,JLGHJK_03023,IGABOM_02185,
group_3897,,12-phenylacetyl-CoA epoxidase subunit D,JLGHJK_01509,IGABOM_00925,
azlD,azlD,AzlD domain-containing protein,JLGHJK_01413,IGABOM_00840,
group_3896,arsR,Transcription regulator ArsR family,JLGHJK_01399,IGABOM_00827,
group_3895,,hypothetical protein,JLGHJK_00748,IGABOM_00119,
group_3893,,PTS system cellobiose-specific EIIB component,JLGHJK_00120,IGABOM_02553,
mpsC,mpsC,Na+-translocating membrane putative-generating system MpsC domain-containing protein,JLGHJK_02850,IGABOM_02029,
group_3882,padR,Transcription regulator PadR N-terminal domain-containing protein,JLGHJK_00673,IGABOM_03192,
group_3881,arsR,Transcription regulator ArsR family,JLGHJK_00657,IGABOM_03178,
group_3880,,hypothetical protein,JLGHJK_00264,IGABOM_02769,
group_3879,arsR,Transcription regulator ArsR family,JLGHJK_00017,IGABOM_02471,
group_3868,,hypothetical protein,JLGHJK_02190,IGABOM_01516,
group_3866,,PTS lactose/cellobiose transporter subunit IIA,JLGHJK_01359,IGABOM_00802,
group_3865,,Thioredoxin,JLGHJK_00747,IGABOM_00118,
group_3855,,hypothetical protein,JLGHJK_02372,IGABOM_01677,
group_3853,,DUF2642 domain-containing protein,JLGHJK_01986,IGABOM_01340,
group_3852,,Ribosomal processing cysteine protease Prp,JLGHJK_01967,IGABOM_01323,
group_3851,,Cupin type-2 domain-containing protein,JLGHJK_01026,IGABOM_00385,
group_3850,,hypothetical protein,JLGHJK_00399,IGABOM_02883,
group_3841,,Bacteriocin immunity protein,JLGHJK_02074,IGABOM_01419,
group_3840,,Prophage protein,JLGHJK_01960,IGABOM_01315,
group_3838,,PTS system beta-glucosides-specific EIIA component,JLGHJK_01777,IGABOM_01164,
group_3837,,hypothetical protein,JLGHJK_01735,IGABOM_01128,
group_3836,,Prophage protein,JLGHJK_00347,IGABOM_02840,
group_3828,,hypothetical protein,JLGHJK_00536,IGABOM_03057,
group_3824,,Prophage protein,JLGHJK_03104,IGABOM_02266,
group_3823,,hypothetical protein,JLGHJK_02998,IGABOM_02167,
group_3822,,Cysteine desulfurase,JLGHJK_02614,IGABOM_01823,
group_3821,gpsB,Cell cycle protein GpsB,JLGHJK_02137,IGABOM_01470,
group_3819,,Extracellular protein membrane-anchored,JLGHJK_01832,IGABOM_01224,
group_3818,,hypothetical protein,JLGHJK_01586,IGABOM_00986,
mazG,mazG,MazG nucleotide pyrophosphohydrolase domain protein,JLGHJK_02552,IGABOM_01772,
group_3806,,UPF0342 protein lp_1415,JLGHJK_01792,IGABOM_01178,
group_3805,,hypothetical protein,JLGHJK_01420,IGABOM_00847,
group_3804,,HTH hxlR-type domain-containing protein,JLGHJK_01337,IGABOM_00790,
group_3802,,Ribonuclease P protein component,JLGHJK_00543,IGABOM_03066,
arsR,arsR,Transcription regulator ArsR family,JLGHJK_00286,IGABOM_02786,
group_3792,,Lichenan-specific phosphotransferase enzyme IIA component,JLGHJK_03210,IGABOM_02358,
group_3791,,Integral membrane protein,JLGHJK_03115,IGABOM_02273,
group_3790,,UPF0145 protein,JLGHJK_02514,IGABOM_01743,
group_3788,,HTH hxlR-type domain-containing protein,JLGHJK_01902,IGABOM_01261,
yabA,yabA,Initiation-control protein YabA,JLGHJK_01109,IGABOM_00592,
group_3787,,ASCH domain-containing protein,JLGHJK_00129,IGABOM_02561,
group_3773,,Lipopolysaccharide assembly protein A domain-containing protein,JLGHJK_02521,IGABOM_01748,
group_3772,fluC,Fluoride-specific ion channel FluC 1,JLGHJK_00727,IGABOM_00095,
group_3771,,YdhG-like domain-containing protein,JLGHJK_00719,IGABOM_00091,
group_3770,,Branched-chain amino acid transport protein,JLGHJK_00194,IGABOM_02700,
group_3763,,Ribosome-binding factor A,JLGHJK_02410,IGABOM_01703,
group_3762,gntR,Acetoin transport repressor GntR family,JLGHJK_00832,IGABOM_00191,
group_3761,,Cyclophilin-like domain-containing protein,JLGHJK_00143,IGABOM_02575,
group_3752,,Prophage protein,JLGHJK_03071,IGABOM_02233,
group_3751,,Competence type IV pilus major pilin ComGC,JLGHJK_02711,IGABOM_01909,
group_3750,,Large ribosomal subunit protein bL19,JLGHJK_02020,IGABOM_01368,
rsfS,rsfS,Ribosomal silencing factor RsfS,JLGHJK_01913,IGABOM_01270,
group_3749,,Large ribosomal subunit protein bL20,JLGHJK_01896,IGABOM_01256,
group_3748,,Bacteriocin immunity protein,JLGHJK_00249,IGABOM_02755,
group_3739,,HTH hxlR-type domain-containing protein,JLGHJK_01934,IGABOM_01289,
group_3737,,UPF0344 protein lp_1373,JLGHJK_01749,IGABOM_01143,
group_3736,,Integral membrane protein,JLGHJK_00192,IGABOM_02698,
group_3720,,hypothetical protein,JLGHJK_03102,IGABOM_02264,
group_3719,,Uncharacterized protein Spy1614,JLGHJK_02003,IGABOM_01354,
group_3717,,Holo-[acyl-carrier-protein] synthase,JLGHJK_00973,IGABOM_00339,
group_3716,,Integral membrane protein,JLGHJK_00114,IGABOM_02548,
group_3706,,Putative membrane protein,JLGHJK_02087,IGABOM_01427,
group_3705,,Extracellular protein,JLGHJK_01583,IGABOM_00983,
group_3704,,Integral inner membrane protein,JLGHJK_01154,IGABOM_00631,
group_3703,,hypothetical protein,JLGHJK_00344,IGABOM_02837,
group_3689,,Integral membrane protein,JLGHJK_02643,IGABOM_01844,
group_3688,,Large ribosomal subunit protein bL12,JLGHJK_01089,IGABOM_00497,
group_3687,,Integral membrane protein,JLGHJK_00866,IGABOM_00222,
group_3686,,phosphoenolpyruvate--glycerone phosphotransferase,JLGHJK_00690,IGABOM_00057,
group_3684,,78-dihydroneopterin aldolase,JLGHJK_00299,IGABOM_02798,
luxR,luxR,LuxR family transcriptional regulator,JLGHJK_02176,IGABOM_01501,
group_3675,,Integral membrane protein,JLGHJK_01736,IGABOM_01129,
group_3673,,hypothetical protein,JLGHJK_00496,IGABOM_03009,
group_3672,,DUF1648 domain-containing protein,JLGHJK_00491,IGABOM_02953,
group_3671,,hypothetical protein,JLGHJK_00400,IGABOM_02884,
group_3656,,Glycine cleavage system protein H,JLGHJK_00813,IGABOM_00169,
group_3655,,hypothetical protein,JLGHJK_00164,IGABOM_02594,
group_3644,,HTH merR-type domain-containing protein,JLGHJK_03113,IGABOM_02271,
group_3643,,Transcription regulator Cro/CI family,JLGHJK_01623,IGABOM_01029,
group_3628,merR,Glutamine synthetase transcriptional regulator MerR family,JLGHJK_01955,IGABOM_01310,
group_3627,,Large-conductance mechanosensitive channel,JLGHJK_01717,IGABOM_01114,
group_3626,,Membrane transporter,JLGHJK_00283,IGABOM_02783,
group_3620,,hypothetical protein,JLGHJK_02746,IGABOM_01939,
group_3619,,N-acetyltransferase,JLGHJK_02277,IGABOM_01583,
group_3618,,MORN motif family protein,JLGHJK_01347,IGABOM_00793,
group_3617,fluC,Fluoride-specific ion channel FluC 2,JLGHJK_00728,IGABOM_00096,
group_3607,,DUF1398 domain-containing protein,JLGHJK_00367,IGABOM_02855,
ftsL,ftsL,Cell division protein FtsL,JLGHJK_02639,IGABOM_01841,
group_3603,,Pore-forming protein,JLGHJK_02162,IGABOM_01489,
group_3602,,RNase H type-1 domain-containing protein,JLGHJK_02161,IGABOM_01488,
group_3601,,DUF956 domain-containing protein,JLGHJK_01051,IGABOM_00464,
group_3588,,HTH gntR-type domain-containing protein,JLGHJK_03065,IGABOM_02227,
group_3587,gntR,Acetoin transport repressor GntR family,JLGHJK_02342,IGABOM_01651,
group_3586,,HTH marR-type domain-containing protein,JLGHJK_01645,IGABOM_01051,
group_3576,,Extracellular protein DUF 1093 familymembrane-bound,JLGHJK_02856,IGABOM_02033,
group_3575,,Prophage protein,JLGHJK_02437,IGABOM_01728,
group_3574,merR,Transcription regulator MerR family,JLGHJK_01725,IGABOM_01121,
group_3573,,Small ribosomal subunit protein uS9,JLGHJK_01496,IGABOM_00916,
group_3564,,D-ribose pyranase,JLGHJK_00518,IGABOM_03042,
group_3563,,Aggregation promoting factor surface protein,JLGHJK_00159,IGABOM_02589,
group_3551,,4-carboxymuconolactone decarboxylase,JLGHJK_03277,IGABOM_02419,
group_3550,,hypothetical protein,JLGHJK_02754,IGABOM_01946,
group_3548,,Glycerol-3-phosphate cytidylyltransferase,JLGHJK_01627,IGABOM_01035,
group_3547,,Septum formation initiator,JLGHJK_01005,IGABOM_00363,
group_3532,,Acetyl-CoA carboxylase biotin carboxyl carrier protein,JLGHJK_01057,IGABOM_00469,
group_3531,,PTS EIIA type-1 domain-containing protein,JLGHJK_00750,IGABOM_00121,
group_3520,,Redox protein regulator of disulfide bond formation,JLGHJK_01285,IGABOM_00734,
group_3519,,RNA polymerase (RNAP)-binding regulatory protein arsenate reductase (ArsC) family Spx subfamily,JLGHJK_00339,IGABOM_02833,
group_3507,,S1 motif domain-containing protein,JLGHJK_02696,IGABOM_01894,
group_3506,,FeS cluster biogenesis domain-containing protein,JLGHJK_02551,IGABOM_01771,
group_3495,,Mini-ribonuclease 3,JLGHJK_01078,IGABOM_00486,
group_3493,,4-carboxymuconolactone decarboxylase,JLGHJK_00142,IGABOM_02574,
group_3492,,Polypeptide deformylase family protein,JLGHJK_00047,IGABOM_02495,
group_3491,,hypothetical protein,JLGHJK_00041,IGABOM_02490,
group_3484,fabZ,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,JLGHJK_02056,IGABOM_01400,
group_3483,,Hydroxyacylglutathione hydrolase,JLGHJK_01951,IGABOM_01306,
group_3482,,Integral membrane protein,JLGHJK_00736,IGABOM_00105,
group_3472,,GtrA/DPMS transmembrane domain-containing protein,JLGHJK_03178,IGABOM_02329,
group_3471,,HTH cro/C1-type domain-containing protein,JLGHJK_03069,IGABOM_02231,
group_3470,,Chemotaxis protein,JLGHJK_02725,IGABOM_01920,
group_3453,,Small heat shock protein,JLGHJK_03103,IGABOM_02265,
group_3451,,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],JLGHJK_01290,IGABOM_00739,
group_3450,,PTS system mannose-specific EIIAcomponent,JLGHJK_01053,IGABOM_00466,
group_3448,,Murein hydrolase export protein,JLGHJK_00253,IGABOM_02759,
sepF,sepF,Cell division protein SepF,JLGHJK_02628,IGABOM_01833,
group_3431,,Stress response regulator gls24-like protein,JLGHJK_01352,IGABOM_00798,
group_3430,,Transcriptional regulator Spx,JLGHJK_01263,IGABOM_00715,
group_3429,,DUF3284 domain-containing protein,JLGHJK_00905,IGABOM_00285,
group_3428,,HTH marR-type domain-containing protein,JLGHJK_00820,IGABOM_00176,
group_3427,,Small heat shock protein,JLGHJK_00653,IGABOM_03175,
group_3426,,Transcription regulator Xre family,JLGHJK_00528,IGABOM_03052,
group_3414,,Lipoprotein,JLGHJK_01745,IGABOM_01139,
group_3413,,Transcriptional regulator,JLGHJK_01255,IGABOM_00708,
group_3412,,Large ribosomal subunit protein uL11,JLGHJK_01086,IGABOM_00494,
group_3411,,Arsenate reductase,JLGHJK_00594,IGABOM_03118,
group_3410,,Flavodoxin domain-containing protein,JLGHJK_00593,IGABOM_03117,
group_3408,,hypothetical protein,JLGHJK_00134,IGABOM_02566,
group_3399,,hypothetical protein,JLGHJK_02826,IGABOM_02008,
group_3397,,CopY/TcrY family copper transport repressor,JLGHJK_00357,IGABOM_02849,
group_3396,,Prophage protein,JLGHJK_00317,IGABOM_02816,
group_3387,,HTH marR-type domain-containing protein,JLGHJK_01314,IGABOM_00761,
group_3377,merR,MerR family transcriptional regulator,JLGHJK_03278,IGABOM_02420,
group_3375,,Putative pre-16S rRNA nuclease,JLGHJK_02740,IGABOM_01933,
msrB,msrB,Peptide methionine sulfoxide reductase MsrB,JLGHJK_02225,IGABOM_01538,
group_3374,,Pyridoxamine 5'-phosphate oxidase-like domain-containing protein,JLGHJK_00620,IGABOM_03144,
group_3373,,XRE family transcriptional regulator,JLGHJK_00191,IGABOM_02697,
group_3360,,Phosphohydrolase [Lactobacillus sp],JLGHJK_01321,IGABOM_00766,
group_3359,,RNA polymerase (RNAP)-binding regulatory protein arsenate reductase (ArsC) family Spx subfamily,JLGHJK_00501,IGABOM_03014,
group_3348,,Universal stress protein,JLGHJK_01589,IGABOM_00989,
group_3347,,hypothetical protein,JLGHJK_01353,IGABOM_00799,
group_3346,,DUF1934 domain-containing protein,JLGHJK_00948,IGABOM_00320,
group_3345,,Transcription regulator Rrf2 family,JLGHJK_00781,IGABOM_00140,
group_3332,,Universal stress protein,JLGHJK_03301,IGABOM_02454,
